date,game,numbers,jackpot_usd,winners,source_url,fetched_at
May,Powerball,21 26 28 62 63 1,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
May,Powerball,16 34 40 45 66 19,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
May,Powerball,14 23 33 38 60 3,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
May,Powerball,10 21 23 35 65 24,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,2 44 52 65 66 12,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,12 41 44 52 64 25,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,7 11 14 26 59 10,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,7 11 21 53 61 2,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,26 32 41 51 66 22,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,5 20 29 39 53 6,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,2 54 59 65 68 3,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Mar,Powerball,6 23 35 36 47 12,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 9 41 42 61 26,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,13 28 44 52 55 6,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,8 15 22 34 62 22,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 35 43 52 62 12,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,1 11 49 57 61 25,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,2 12 37 51 61 22,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 7 12 20 55 12,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,5 25 42 44 65 20,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,1 26 29 44 52 26,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,3 16 32 52 62 24,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,13 15 17 36 66 10,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,23 29 50 64 67 11,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,32 42 52 55 56 18,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,17 21 23 27 52 19,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,19 20 39 47 55 15,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 6 9 23 59 25,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 29 37 48 56 6,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,13 25 29 37 53 3,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,1 7 24 50 59 11,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,30 33 40 43 52 25,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,6 7 16 22 28 17,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,31 36 43 48 62 25,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,13 33 35 36 56 2,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,5 17 23 35 45 24,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,4 25 43 44 63 4,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jun,Powerball,1 7 44 57 61 21,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,13 32 65 66 68 7,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,4 15 35 50 64 8,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,7 18 41 42 62 3,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,11 25 40 50 65 21,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,7 35 36 43 62 3,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Jul,Powerball,11 16 21 29 41 1,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
