date,game,numbers,jackpot_usd,winners,source_url,fetched_at
Sep,Powerball,28 37 42 50 53 2,,,https://www.coloradolottery.com/en/,2025-09-14T20:13:41.607860Z
Sep,Powerball,28 37 42 50 53 19,,,https://www.sceducationlottery.com/,2025-09-14T20:15:06.731151Z
2025-09-15,Powerball,28 37 42 50 53 19,,,https://www.texaslottery.com/export/sites/lottery/Games/,2025-09-14T20:15:15.014996Z
2025-09-14,Powerball,7 8 1 8 5 2,,,https://www.delottery.com/Winning-Numbers,2025-09-14T20:13:46.273648Z
2025-09-14,Powerball,28 37 42 50 53 19,,,https://dclottery.com/winning-numbers,2025-09-14T20:13:48.701413Z
2025-09-13,Powerball,28 37 42 50 53 19,,,https://www.mnlottery.com/,2025-09-14T20:14:24.811685Z
2025-09-12,Mega Millions,,202509120000003810000000400000000017500000001858000000020250913001402,,https://www.megamillions.com/cmspages/utilservice.asmx/GetLatestDrawData,2025-09-14T20:13:24.552453Z
2025-09-10,Powerball,28 37 42 50 53 19,,,https://www.idaholottery.com/games/winning-numbers,2025-09-14T20:14:00.064752Z
